"puc","product_id","formulation_id","chemical","mass.fraction"
"HM.0100.030.099.F",95206,79,"DTXSID7021360",0.028
"HM.1400.040.099.F",90001,73,"DTXSID7021360",0.676
"CP.1200.060.099.F",1601,38,"DTXSID8020462",0.000805648
