"inhal1","dermal1","ingest1","inhal2","dermal2","ingest2","inhal3","dermal3","ingest3","inhal4","dermal4","ingest4","inhal5","dermal5","ingest5","daynum","source.id"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"HM.1400.010.041.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"HM.1400.010.041.F"
