"house.num","personid","age","gender","wgt_kg","pork","beef","apple","cabbage","water","dtxsid","source","m.ing.pork","m.ing.beef","m.ing.apple","m.ing.cabbage","m.ing.water","m.abs.pork","m.abs.beef","m.abs.apple","m.abs.cabbage","m.abs.water"
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID2021781","foodcontact",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID3020205","foodcontact",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID7021360","foodcontact",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID8020462","foodcontact",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID8020913","foodcontact",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID2021781","residue",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID3020205","residue",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID7021360","residue",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID8020462","residue",0,0,0,0,0,0,0,0,0,0
640,"54728_2",21,"F",56.8,516,230.4,168.7,25.5,25.5,"DTXSID8020913","residue",0,0,0,0,0,0,0,0,0,0
